datetime,agent_type,pid,transaction_id,execution_time,source_file,line_number,date,hour,minute,is_slow,is_very_slow,is_critical
2025-11-06 22:20:00.187,eta_agent,7760,11017739569023,36.87,time6.txt,17741,2025-11-06,22,20,True,True,False
2025-11-06 22:20:02.834,eta_agent,7690,11017739572232,48.169,time6.txt,2066,2025-11-06,22,20,True,True,False
2025-11-06 22:20:04.431,eta_agent,7860,11017739554579,28.981,time6.txt,69037,2025-11-06,22,20,True,False,False
2025-11-06 22:20:28.559,eta_agent,8087,11017739569351,23.189,time6.txt,110408,2025-11-06,22,20,True,False,False
2025-11-06 22:20:35.991,eta_agent,7964,11017739576108,29.321,time6.txt,84544,2025-11-06,22,20,True,False,False
2025-11-06 22:20:45.306,eta_agent,7980,11017739569403,31.456,time6.txt,90905,2025-11-06,22,20,True,True,False
2025-11-06 22:21:01.077,eta_agent,8216,11017739576126,49.957,time6.txt,132449,2025-11-06,22,21,True,True,False
2025-11-06 22:21:06.479,eta_agent,8025,11017739576257,21.324,time6.txt,99737,2025-11-06,22,21,True,False,False
2025-11-06 22:21:07.020,eta_agent,8023,11017739576249,23.062,time6.txt,95389,2025-11-06,22,21,True,False,False
2025-11-06 22:21:07.338,eta_agent,7843,11017739572740,21.624,time6.txt,55467,2025-11-06,22,21,True,False,False
2025-11-06 22:21:07.821,eta_agent,7851,11017739569631,23.247,time6.txt,62182,2025-11-06,22,21,True,False,False
2025-11-06 22:21:08.164,eta_agent,7772,11017739576245,25.072,time6.txt,44442,2025-11-06,22,21,True,False,False
2025-11-06 22:21:09.486,eta_agent,7690,11017739554794,28.597,time6.txt,2068,2025-11-06,22,21,True,False,False
2025-11-06 22:21:10.097,eta_agent,8079,11017739576265,22.121,time6.txt,106164,2025-11-06,22,21,True,False,False
2025-11-06 22:21:10.113,eta_agent,8093,11017739576262,23.224,time6.txt,114859,2025-11-06,22,21,True,False,False
2025-11-06 22:21:11.766,eta_agent,7691,11017739569565,36.409,time6.txt,4260,2025-11-06,22,21,True,True,False
2025-11-06 22:21:11.973,eta_agent,7765,11017739576277,21.43,time6.txt,28771,2025-11-06,22,21,True,False,False
2025-11-06 22:21:12.685,eta_agent,7694,11017739569501,44.446,time6.txt,11051,2025-11-06,22,21,True,True,False
2025-11-06 22:21:14.315,eta_agent,7693,11017739569617,30.739,time6.txt,8835,2025-11-06,22,21,True,True,False
2025-11-06 22:21:15.217,eta_agent,8035,11017739569545,41.238,time6.txt,101881,2025-11-06,22,21,True,True,False
2025-11-06 22:21:15.503,eta_agent,7692,11017739569633,30.351,time6.txt,6576,2025-11-06,22,21,True,True,False
2025-11-06 22:21:20.386,eta_agent,8036,11017739576271,31.77,time6.txt,103947,2025-11-06,22,21,True,True,False
2025-11-06 22:21:20.575,eta_agent,7773,11017739572696,42.299,time6.txt,46570,2025-11-06,22,21,True,True,False
2025-11-06 22:21:21.530,eta_agent,7767,11017739569725,23.928,time6.txt,33273,2025-11-06,22,21,True,False,False
2025-11-06 22:21:22.507,eta_agent,8109,11017739572798,26.119,time6.txt,123643,2025-11-06,22,21,True,False,False
2025-11-06 22:21:23.025,eta_agent,7850,11017739554745,57.381,time6.txt,59957,2025-11-06,22,21,True,True,False
2025-11-06 22:21:24.684,eta_agent,7961,11017739572617,59.198,time6.txt,77822,2025-11-06,22,21,True,True,False
2025-11-06 22:21:26.654,eta_agent,8144,11017739576238,45.897,time6.txt,130261,2025-11-06,22,21,True,True,False
2025-11-06 22:21:26.829,eta_agent,7976,11017739569546,52.672,time6.txt,86672,2025-11-06,22,21,True,True,False
2025-11-06 22:21:46.002,eta_agent,8110,11017739572923,27.652,time6.txt,125840,2025-11-06,22,21,True,False,False
2025-11-06 22:21:51.007,eta_agent,8093,11017739554957,21.224,time6.txt,114860,2025-11-06,22,21,True,False,False
2025-11-06 22:21:51.135,eta_agent,7771,11017739569937,26.14,time6.txt,42243,2025-11-06,22,21,True,False,False
2025-11-06 22:21:52.159,eta_agent,8036,11017739572989,21.985,time6.txt,103948,2025-11-06,22,21,True,False,False
2025-11-06 22:21:52.493,eta_agent,7853,11017739576425,24.863,time6.txt,66719,2025-11-06,22,21,True,False,False
2025-11-06 22:22:33.783,eta_agent,8109,11017739585107,43.616,time6.txt,123645,2025-11-06,22,22,True,True,False
2025-11-06 22:22:34.892,eta_agent,7793,11017739576495,47.364,time6.txt,53234,2025-11-06,22,22,True,True,False
2025-11-06 22:22:35.143,eta_agent,7691,11017739573212,24.874,time6.txt,4261,2025-11-06,22,22,True,False,False
2025-11-06 22:22:39.522,eta_agent,7850,11017739585286,28.976,time6.txt,59959,2025-11-06,22,22,True,False,False
2025-11-06 22:22:46.234,eta_agent,7765,11017739580053,44.348,time6.txt,28772,2025-11-06,22,22,True,True,False
2025-11-06 22:22:47.627,eta_agent,7764,11017739580134,23.006,time6.txt,26539,2025-11-06,22,22,True,False,False
2025-11-06 22:23:01.026,eta_agent,7961,11017739576724,20.065,time6.txt,77824,2025-11-06,22,23,True,False,False
2025-11-06 22:23:27.063,eta_agent,8084,11017739585697,23.119,time6.txt,108285,2025-11-06,22,23,True,False,False
2025-11-06 22:23:29.734,eta_agent,7843,11017739585554,44.268,time6.txt,55470,2025-11-06,22,23,True,True,False
2025-11-06 22:23:38.034,eta_agent,7964,11017739585804,20.102,time6.txt,84550,2025-11-06,22,23,True,False,False
2025-11-06 22:23:41.880,eta_agent,7694,11017739573556,29.414,time6.txt,11057,2025-11-06,22,23,True,False,False
2025-11-06 22:23:43.642,eta_agent,7762,11017739585752,32.65,time6.txt,22250,2025-11-06,22,23,True,True,False
2025-11-06 22:23:45.075,eta_agent,7763,11017739573606,23.504,time6.txt,24494,2025-11-06,22,23,True,False,False
2025-11-06 22:23:45.768,eta_agent,8216,11017739585834,22.06,time6.txt,132454,2025-11-06,22,23,True,False,False
2025-11-06 22:23:54.677,eta_agent,7785,11017739585903,22.812,time6.txt,48785,2025-11-06,22,23,True,False,False
2025-11-06 22:23:55.798,eta_agent,8088,11017739585907,23.479,time6.txt,112560,2025-11-06,22,23,True,False,False
2025-11-06 22:23:57.355,eta_agent,8099,11017739573666,23.134,time6.txt,121462,2025-11-06,22,23,True,False,False
2025-11-06 22:23:57.600,eta_agent,8084,11017739580361,23.15,time6.txt,108286,2025-11-06,22,23,True,False,False
2025-11-06 22:23:57.915,eta_agent,7760,11017739573676,23.147,time6.txt,17747,2025-11-06,22,23,True,False,False
2025-11-06 22:23:58.630,eta_agent,7773,11017739585929,23.155,time6.txt,46575,2025-11-06,22,23,True,False,False
